Original
ID;Type;Model Type;Kind;Model Name
Ne9ga66D.AACASGs;Model Element;Class;UPDATE;"BSAccess"
KUoKa66D.AACAQ.y;Model Element;Stereotype;ADD;"subsystem proxy"
KUoKa66D.AACAQ.y;Model Element;Stereotype;UPDATE;"subsystem proxy"
Ne9ga66D.AACASGs;Model Element;Class;UPDATE;"BSAccess"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
U.9ga66D.AACASGz;Model Element;Dependency;UPDATE;"(no name)"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
Bh9ga66D.AACASHW;Model Element;Generalization;UPDATE;"(no name)"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
th9ga66D.AACASHX;Model Element;Dependency;UPDATE;"(no name)"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
nJ9ga66D.AACASJE;Shape;Class;UPDATE;"CourseOffering"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
1B9ga66D.AACASHP;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
F.9ga66D.AACASHG;Model Element;(Not Found);UPDATE;"(Not Found)"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
Q.9ga66D.AACASGy;Model Element;Dependency;UPDATE;"(no name)"
F.9ga66D.AACASHG;Model Element;(Not Found);UPDATE;"(Not Found)"
